s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.9500378E+002, 3.0664355E+002,-1.2757094E+002,-9.1013646E+001,-8.7842672E+001,-6.7757982E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8197200E-001, 1.4852992E-001, 6.5219258E-003
 1.9601158E+002, 3.0730569E+002,-1.2724427E+002,-9.2920899E+001,-8.7219810E+001,-9.1270860E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3975008E-001,-1.7055541E-001, 6.5219258E-003
 1.9700319E+002, 2.9515711E+002,-1.2394572E+002,-8.3033308E+001,-8.7817323E+001,-1.0714401E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5284410E-001, 3.5004060E-001, 6.5219258E-003
 1.9800139E+002, 2.9633985E+002,-1.2393098E+002,-8.3406493E+001,-8.9273241E+001,-8.9378613E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6155473E-001,-3.6024831E-001, 6.5219258E-003
 1.9900980E+002, 3.0632014E+002,-1.2765275E+002,-8.8440434E+001,-8.9662056E+001,-3.5004660E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0458312E+000, 5.2989497E-001, 6.5219258E-003
 2.0000424E+002, 3.0191346E+002,-1.2694976E+002,-8.5027891E+001,-8.9624501E+001,-1.1777599E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8059664E-001, 1.9353001E-001, 6.5219258E-003
 2.0100139E+002, 3.1311665E+002,-1.2948229E+002,-9.4993339E+001,-8.9575013E+001,-9.6210126E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2165692E-001,-9.4361021E-001, 6.5219258E-003
 2.0200471E+002, 2.8272373E+002,-1.2066621E+002,-7.4084567E+001,-8.8695499E+001,-4.0565097E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9701863E-001,-7.6311868E-001, 6.5219258E-003
 2.0300499E+002, 2.9186425E+002,-1.2336967E+002,-7.8974693E+001,-8.8764372E+001, 8.5317001E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1609456E+000, 7.6405123E-001, 6.5219258E-003
 2.0400006E+002, 3.0186656E+002,-1.2577563E+002,-8.6508584E+001,-9.0424392E+001,-1.1164991E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5200044E-001,-9.5370293E-001, 6.5219258E-003
 2.0500732E+002, 3.1069372E+002,-1.2926013E+002,-9.0110542E+001,-9.0089398E+001,-5.5878276E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7541395E+000, 1.1777681E+000, 6.5219258E-003
 2.0600926E+002, 2.9290228E+002,-1.2331926E+002,-8.0589060E+001,-8.9330195E+001,-6.0619883E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8118817E-002,-3.4229037E-001, 6.5219258E-003
 2.0701289E+002, 3.0036811E+002,-1.2559183E+002,-8.4619012E+001,-9.1092344E+001,-5.8817339E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7220646E-001,-9.9390135E-001, 6.5219258E-003
 2.0800278E+002, 2.8691813E+002,-1.2204460E+002,-7.3632066E+001,-9.0706036E+001,-1.8906943E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0156828E+000, 3.4635697E-001, 6.5219258E-003
 2.0901306E+002, 3.0965737E+002,-1.2867210E+002,-9.1696120E+001,-8.9223705E+001,-6.9412193E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8330449E-001,-3.9702966E-003, 6.5219258E-003
