s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.3760001E+002, 0.0000000E+000, 1.5315128E-003,-5.2402730E-002,-1.7385673E-002,-2.5574965E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6698656E-004,-3.2400654E-001, 1.6041749E-004
 1.3839999E+002, 0.0000000E+000, 1.5769666E-003,-5.1634006E-002,-2.1324770E-002,-2.7062972E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2301232E-004,-3.4201153E-001, 1.6078222E-004
 1.3920000E+002, 0.0000000E+000, 1.5668734E-003,-5.2690739E-002,-1.3906013E-002,-1.8785611E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2303471E-004,-2.5288598E-001, 1.6047619E-004
 1.4000000E+002, 0.0000000E+000, 1.5371438E-003,-4.2470727E-002,-1.7297613E-002,-2.6212105E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9279936E-004,-3.2035225E-001, 1.5695802E-004
 1.4080000E+002, 0.0000000E+000, 1.5420085E-003,-3.8782664E-002,-1.9091101E-002,-3.0796602E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7636387E-004,-3.6429778E-001, 1.5744884E-004
 1.4160001E+002, 0.0000000E+000, 1.5579200E-003,-4.5479629E-002,-2.2020339E-002,-3.0862444E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7895933E-004,-3.7456649E-001, 1.5820353E-004
 1.4239999E+002, 0.0000000E+000, 1.5539044E-003,-3.4291295E-002,-2.5437454E-002,-3.2214852E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2037815E-003,-3.8032337E-001, 1.5902084E-004
 1.4320000E+002, 0.0000000E+000, 1.5285186E-003,-3.1144541E-002,-2.3466800E-002,-2.6768607E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0275122E-003,-3.2076889E-001, 1.5982432E-004
 1.4400000E+002, 0.0000000E+000, 1.5452558E-003,-4.0212984E-002,-2.5602214E-002,-2.8163103E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5555553E-003,-3.4590097E-001, 1.6058224E-004
 1.4480000E+002, 0.0000000E+000, 1.5466467E-003,-3.5963331E-002,-3.1924100E-002,-3.6384489E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7049452E-004,-4.3018567E-001, 1.6128354E-004
